Unit 2410 south flair towers,Price,Description,Street Address,Bedroom,Bathroom,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link
Male and Female bedspace for rent,2500,Male and female  bedspace near Robinsons pioneer boni edsa.  Terms 1mon deposit and 1mon advance. Free wifi.  Water and electricity were not  included in your monthly rental.,"4 pinatubo street, ",4,1,Metro Manila (NCR),Mandaluyong City,Brgy Barangka,12,,,,https://www.carousell.ph/p/male-and-female-bedspace-for-rent-274782927/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=KmUUWg14DRURMN5P&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady Bedspace Condo Sharing for Rent at Pioneer Woodlands Mandaluyong,6000,"6,000Php* - 2 out of 2 slots (available on June 7, 2020)
* All-in monthly rent per person (lady bed spacers only)

Inclusive of: 
Utilities & Monthly dues 
Beds & Mattresses 
Cabinets 
Air-Con 
5Mbps Fibre Internet
Weekly housekeeping of common areas and bathroom

Common Areas include: 
Sofa & TV 
Dining Table 
Induction Stove, Microwave, Rice Cooker & Ref

Unit Specs: 40sqm, 2-Bedroom Unit w/ 1 Toilet & Bathroom

Walking distance to the following landmarks: 
Robinson’s Pioneer Cybergate Towers 1, 2 & 3

Near: SM Light; Robinson’s Forum; Estancia, Capitol Commons.
It’s integrated with MRT3: Ortigas, Shaw, Buendia, Ayala, Makati, Magallanes, Cubao
You may contact me at: 
Email/FB/iMessage: ","Tower 2, Pioneer Woodlands Condominium, Pioneer Street.",2,1,Metro Manila (NCR),Mandaluyong City,Corner EDSA,40,,,,https://www.carousell.ph/p/lady-bedspace-condo-sharing-for-rent-at-pioneer-woodlands-mandaluyong-242264145/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=KmUUWg14DRURMN5P&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"PHP 2,200! LADY BEDSPACERS!",2200,"Php 2,200.00

Twenty four hour water availability

With Aircon, Free Wifi,

With Canteen, Laundry and Bakery Nearby!

Walking distance from LRT Anonas station

One block to Tricycle and Jeepney Transportation!

Address: # 7 Palosapis street Barangay Amihan Project 3  Q.C.

For more information, 
please contact Mrs. Cynne @ 09064653371 (GLOBE)/ 09197521926 (TNT)",#7 Palosapis street Barangay Amihan Project 3 Quezon city,1,1,Metro Manila (NCR),Quezon City,Amihan,18,,0,,https://www.carousell.ph/p/php-2-200-lady-bedspacers-1055484849/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=i6Agn28xLKBIeMR7&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
PHP 2200.00! LADY BEDSPACERS ONLY!,2200,"Php 2,200.00

Twenty four hour water availability

With Aircon, Free Wifi

With Canteen, Laundry and Bakery Nearby!

Walking distance from LRT Anonas station

One block to Tricycle and Jeepney Transportation!

Address: # 7 Palosapis street Barangay Amihan Project 3  Q.C.

For more information, 
please contact Mrs. Cynne @ 09064653371 (GLOBE)/ 09197521926 (TNT)",#7 Palosapis street Barangay Amihan Project 3 Q.C.,1,1,Metro Manila (NCR),Quezon City,Amihan,18,,0,,https://www.carousell.ph/p/php-2200-00-lady-bedspacers-only-1055483374/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=i6Agn28xLKBIeMR7&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Katipunan Bedspace For Rent (Females Only),4000,"Enjoy convenience, comfort and safety in a townhouse, shared room good only for 2 females.

Php 4,000.00 only per person

Nearby schools: (walking distance)
Miriam College
UP Diliman
Ateneo de Manila
Multiple Intelligence International School

Nearby establishments:
SM SaveMore
Mercury Drug
Rustans
Ministop
BPI
BDO
PNB
Metrobank
LBC


Free Wifi,
Electricity and water expense will be divided according to number of tenants
Fully furnished kitchen
Cooking allowed, use your own pans, shared expenses

Terms of payment:
1 month deposit, 1 month advance",Escaler Street ,2,2,Metro Manila (NCR),Quezon City,Loyola Heights,18,,,,https://www.carousell.ph/p/katipunan-bedspace-for-rent-females-only-269866884/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=QBsOr7Y83xb14ZN-&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
lady bedspace for rent at vluna sikatuna village near maginhawa,2700,"2,700/head
4 persons in a room
4 slots available

The bathroom is sharing and  its very clean.


2800head with own bathroom
4persons in a room.
2 slots available 
4200/head 
4 persons in a room with AIRCON
3 slots available

Inclusive 
Electric and water bill

Wifi available 100/month

Near

Kamuning
EDSA
Anonas
Teacher's Village
Maginhawa
UP Diliman
Cubao
TIMOG
EAST AVE.
QC HALL
PHIL. HEART CENTER

Requirements 
1mo. dep. 1mo. advance.
Photocopy of valid ID.

Just call or text at 09171756364
ADD:131-A V.Luna Extension cor Maginhawa Sikatuna Village, QC
Landmark: Sarsa at Parilla",131- a v. Luna ext ,3,1,Metro Manila (NCR),Quezon City,sikatuna village qc,27,,,,https://www.carousell.ph/p/lady-bedspace-for-rent-at-vluna-sikatuna-village-near-maginhawa-239353360/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=QBsOr7Y83xb14ZN-&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Boarding House Bedspace Room for Rent Sampaloc Manila,2300,"**Additional details can be seen on photos**

Bed space Rate is 2,300Php / head / month, inclusive of Water & Basic Electricity.

Apat katao sa regular room (4 x 2.3k) at 6 sa big room. We require 1 month advance & 3k deposit. First come first serve basis

Our address is 1032 Macamisa / Tacio Street Sampaloc Manila at the back of PLDT Tower Espana

Pwedeng maglaba at meron din kaming coin operated washing machine at tumble dryer para di kayo mahirapan.

Text message us for reservation (NO CALLS PLS). (7am-8pm). Thanks!",1028 Macamisa Street,1,1,Metro Manila (NCR),Manila,Brgy. 5 12,20,,,,https://www.carousell.ph/p/boarding-house-bedspace-room-for-rent-sampaloc-manila-238486610/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=QBsOr7Y83xb14ZN-&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female Bedspace in Pasay City,3000,"Female Bedspace for rent RCD Pasay Townhouse Cabrera Street Pasay walking distance to Edsa

Female Bedspace 
- 3,000.00 inclusive water & meralco.
- Additional 100.00 per appliances

1 months deposit, 1 month advance",Cabrera Street,5,4,Metro Manila (NCR),Pasay City,RCD Pasay Townhouse,99,,0,,https://www.carousell.ph/p/female-bedspace-in-pasay-city-1020407794/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=QBsOr7Y83xb14ZN-&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace (ladies only),3500,"VACANT 4 beds - Terms 1 month advance 1 month deposit just bring your own dresser,  Electricity & Water are included ??",475 Narra St.,1,1,Metro Manila (NCR),Makati City,Cembo Makati,20,,0,,https://www.carousell.ph/p/bedspace-ladies-only-282403089/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=QBsOr7Y83xb14ZN-&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for male,3500,"Updated rate:
For male bedspace :) few slots nalang :) 
Basahin mabuti. 
Non aircon room: 2,700 lower deck & 2600 upper deck. All in :) 
Airconditioned room: 3500 lower deck & 3300 upper deck all in :) 

 
Loc. Urban deca homes tondo manila :)

Non aircon and aircon inclusions

Water and electric bill
Free Mineral water (filtered) unli inom tubig
Electric kettle
Rice cooker
Aircondition for aircon room
With portable Efan
Flat iron
Own bed ( Legit Uratex foam )
Own cabinet slot with podlock ( bring your own podlock )
Common cr
Condo dues
24/7 security personnels
Cctv

Note:
With condo rules and regulations, will be discussed upon viewing. :)

Very accesible to all landmarks of manila
One ride going to divisoria
Near Sm san lazaro,puregold tayuman, LRT tayuman
Walkin distance for our very own DECA MALL (newly opened)",Sierra Madre St. 69 EDSA ,2,1,Metro Manila (NCR),Manila,Brgy. Highway Hills,32,,,,https://www.carousell.ph/p/bedspace-for-male-272962195/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=QBsOr7Y83xb14ZN-&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
dorm bedspace palanan makati,3700,"QUALITY DORM BETTER THAN BEDSPACE MAKATI  
P3700 mo, includes ALL-IN amenities, in fan room,  7+1 mo contract, 
rates increase for shorter term stay
AC shared bedslot in rooms available too. Must come and view.",N/A,N/A,N/A,Metro Manila (NCR),Makati City,Palanan,10,,,,https://www.carousell.ph/p/dorm-bedspace-palanan-makati-1052944453/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=Pkr0zvuPw4mMioR7&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Male Condo Bedspacing,4500,"Grand Central Residences

4,500 is inclusive of Electric/ Water/ Monthly dues/ Internet Wifi

Very convenient location near to Business location:
Ortigas
Shaw
Makati
Pasig

Beside Edsa Blvd
1 min walk to MRT shaw station

Near Edsa Shang mall, Starmall and SM Megamall

Unit is fully furnished with appliances
Bed with mattress
1 Comfort room
1 shower room
1 assigned drawers
Refrigerator
WiFi available
Aircon
Microwave
Toaster
Rice cooker
Landline",Edsa cor Sultan St. ,1,2,Metro Manila (NCR),Mandaluyong City,Highway Hills,24,,0,,https://www.carousell.ph/p/male-condo-bedspacing-1054912140/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=yAqGMksoeM6AZM3j&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady bedspacer paranaque,2800,"Lady bedspacer
1 month deposit
1 month advance

Villanueva village Bgy San dionisio 
Sucat Paranaque 
Across lianas evacom

Minimum stay 2 months

09330850891
09195747953",7126 franc lane ,1,1,Metro Manila (NCR),Paranaque City,"Villanueva village, Sucat",18,,,,https://www.carousell.ph/p/lady-bedspacer-paranaque-238848919/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=QBsOr7Y83xb14ZN-&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
LADY BEDSPACE FOR RENT IN TAGUIG,1400,"DESCRIPTION:

> 23 sqm Studio Type
>1 month advance 1 month deposit.
> Good for 5 pax only
> Owned submeter for water utility.
> No pets allowed
> New furnished unit (built-in cabinets, timber double decks and upper shelves & lower cabinet at kitchen).
> Beside the Aqua Quest
> Walking distance to Signal Market, SM Hypermarket, Puregold, McDonalds, Jollibee, Ministop, Espino Church & Barangay South Signal Village.

NEARBY LANDMARKS:
CBD (Central Business District)
> FTI Arca South Terminal
> Market! Market!
> BGC
> SM City Bicutan

Message or contact me for inquiries.
Contact #: 09271779233

THANKS!",No. 20 A Major Vita St. Zone 7 Central Signal Village Taguig City,1,1,Metro Manila (NCR),Taguig,Central Signal Village,23,,,,https://www.carousell.ph/p/lady-bedspace-for-rent-in-taguig-1049541939/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=QBsOr7Y83xb14ZN-&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female bedspace in Las Pinas near RFC Starmall,2000,"Triple deck (lower deck = P2,300 / middle = P2,150 / upper = P2,000).
First month's rent and advance deposit required.
Utilities included.
Safe and secure.
Spacious bed.
Clean facilities.
No flooding.
Near the highway.
Quiet neighborhood.
Free use of TV, refrigerator, wifi/internet, etc.
Located at 37 Libra Street, Pamplona Park Subdivision, Pamplona 2, Las Pinas City.
Just walking distance from Red Ribbon/Starmall.
15 minutes away from Perpetual University.
Note:  If you can see the posting, it's available.

For more info, you may also contact my caretaker, Necitas at zero-nine-nine-eight-two-two-three-zero-one-four-zero.",37 Libra St.,4,2,Metro Manila (NCR),Las Pinas,"Bgy. Pamplona 2,",150,,,,https://www.carousell.ph/p/female-bedspace-in-las-pinas-near-rfc-starmall-239191594/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=QBsOr7Y83xb14ZN-&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"Female Bedspacer, Betterliving Paranaque City",1700,"Wanted Female Bedspacer, Betterliving Paranaque City
For Inquiries Contact:
* PLDT Landline: 8822 9446 / Sun: 0932 791 0074 / Globe: 0956 367 8584

Price: 
* P1,700.00

* This is not a room but a curtain covered
  double deck only inside a house. Only the 
  top of the double deck is available

Location: 
* Betterliving Subdivision near Sinangag Express Dona Soledad Ave.

Advantages:
* 24/7 Security, No Curfew, Flood Free Area
* Free Water(No Water Interruption), Free WiFi, Free Landline(No Long Distance)
* Walking Distance: Supermarkets(SM Bicutan, Puregold), Gas Stations(Shell, Petron)
  Drugstores(Mercury Drug, Watsons), Laundry Shops, Wet Markets(Palengke), 
  Convenience Stores(7-eleven, Mini-Stop), etc.
* There's a Tricycle around area for a more longer distance travels.

Terms:
* 1 Month Advance

Requirements:
* Photocopy of updated NBI Clearance 
* Photocopy of Work ID

Text the number above and look for Aling Glenda for more queries. Thanks!","Vatican Street, Betterliving Subdivision",1,1,Metro Manila (NCR),Paranaque City,Don Bosco,30,,,,https://www.carousell.ph/p/female-bedspacer-betterliving-paranaque-city-1052675055/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=jgbNE7yGEETVGMzv&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
RUSH RUSH!!! AFFORDABLE FEMALE BEDSPACE MAKATI,3600,"EVERYTHING YOU NEED IS HERE
HURRY... GRAB IT NOW!!!!MORE SLOTS AVAILABLE...
PM ME FOR SCHEDULE OF VIEWING...

100%Available!!!
I will delete this post if already occupied...

#veryaccessibleayalamakati
#walkingdistanceayalamakati
#veryaffordableladybedspacer
#roomsharing
#condosharing

#AccessibleLADYBEDSPACEForRentMakatiCity
#VeryaccessibleWaltermartMakatiSquareDonBoscoPbcomTowerRcbcAyalaAveGlorietteLandmarkMakatiMed

MONTHLY RENT 3,600PHP

Accept DAY SHIFT ONLY

Only Upper Deck available

UTILITIES FOR “ELECTRIC” NOT INCLUDED?
(Separate payment)

Included/Provided:
-Aircondition
-Wifi and landline
-Puwede Maglaba
-Puwede Magluto
-TV
-Double deck
-Mattress
-1month deposit 1month advance
-No curfew
-Very clean
-Newly renovated
-Puwede na lumipat agad
-Safe and secure (with guard)
-Water bill (kasama na)

FOR INTERESTED kindly pm me. Thank you.",Egi Homes Condominium Medina St.,1,1,Metro Manila (NCR),Makati City,Brgy. Pio del Pilar,50,,,,https://www.carousell.ph/p/rush-rush-affordable-female-bedspace-makati-1041654074/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=QBsOr7Y83xb14ZN-&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Pasay bedspace: Ladies Private Bedspace near Victory Pasay Mall & LRT Station,3500,"Ladies private bedroom with work table available for lease.
walking distance to Libertad LRT Station.  located right across Victory Pasay Mall & Public Market.
provided with washing machine, shared kitchen and shared toilets.
filtered drinking water also available.
each bed is private with curtains and with private lockable locker space.
with lower deck or upper deck.
water and electricity all included.
minimum of 6 months rental contract.
no parking available.  open laundry area also provided.
each room has a maximum of 8 beds, we have 4 toilets for sharing.", Libertad St. ,1,1,Metro Manila (NCR),Pasay City,Barangay 40,15,,0,,https://www.carousell.ph/p/pasay-bedspace-ladies-private-bedspace-near-victory-pasay-mall-lrt-station-1045658421/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=QBsOr7Y83xb14ZN-&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for Male in Makati 2500,2500,"The place is near and walkable to Makati Circuit, near Ayala Avenue, Makati Ave. 

Near at the vicinity Sacramento Market, South ave., along J. P. RIZAL

1.  1 month deposite 1 month advance payment
2. FREE basic water and electricity
3. Additional payment for electricity for additional appliance
4. 2 Clean  common Rest Room 
5. Wifi available
6. Wifi and electricity negotiable additional payment for Work From Home status
7.  Labatory for laundry
8. Cabin provided with locker
9. Key for gate and doors is provided.
10. No curfew",5930 San Diego St. Brgy. Olympia Makati City,5,2,Metro Manila (NCR),Makati City,Olympia,20,,,,https://www.carousell.ph/p/bedspace-for-male-in-makati-2500-1054929332/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=QBsOr7Y83xb14ZN-&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female bedspace for rent,2400,"Located in San Isidro, Makati

- accessible to Makati CBD, malls and convenience stores
- double deck bed
- there are rooms for 2, 4, or 6 occupants, you may check for  availability of bed / room
-rent is inclusive of water, basic electricity, uratex bed, own cabinet, own fan, and WiFi
-no excessive laundry or cooking allowed (no kitchen or laundry area alloted in the place). There are laundry shops and eateries nearby. 

Priority goes to tenant:
-with normal working schedule (M-F, day shift, starts at around 7:30am onwards)
-had experience in bedspacing/room-sharing (hindi alagain) 
-who can stay for a minimum of 6 months

Requirements:
-NBI clearance
-valid IDs

Pls. message me for further inquiries and contact details of the owner",2752 Faraday St.,1,1,Metro Manila (NCR),Makati City,San Isidro,N/A,,,,https://www.carousell.ph/p/female-bedspace-for-rent-1051938572/?t-id=Wmb45WaKmQ_1609053627632&t-referrer_browse_type=search_results&t-referrer_request_id=D5dI701ZjQ8gQixb&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
